ASK,BID,QUANTITY
118.624,117.086,0
118.363,117.087,0
118.283,117.087,0
118.284,117.086,0
118.283,117.087,0
118.113,117.087,0
118.114,117.086,0
118.114,117.086,0
118.113,117.087,0
118.114,117.086,0
118.114,117.086,0
118.113,117.087,0
118.113,117.087,0
118.113,117.087,0
118.094,117.086,0
118.123,117.087,0
118.123,117.087,0
118.094,117.416,0
118.043,117.417,0
118.083,117.417,0
118.044,117.416,0
118.044,117.416,0
118.044,117.416,0
118.044,117.416,0
118.044,117.416,0
118.124,117.416,0
118.124,117.416,0
118.124,117.416,0
118.123,117.417,0
118.124,117.416,0
118.123,117.417,0
118.124,117.416,0
118.123,117.417,0
118.124,117.416,0
118.124,117.416,0
118.124,117.416,0
118.124,117.416,0
118.124,117.626,0
118.124,117.626,0
118.124,117.666,0
118.123,117.737,0
118.624,117.746,0
118.173,117.747,0
118.134,117.746,0
118.173,117.747,0
118.133,117.747,0
118.174,117.746,0
118.173,117.747,0
118.623,117.797,0
118.354,117.796,0
118.364,117.796,0
118.404,117.796,0
118.623,117.797,0
118.404,117.796,0
118.704,117.796,0
118.364,117.796,0
118.403,117.797,0
118.703,117.797,0
118.283,117.797,0
118.903,117.927,0
118.614,117.926,0
118.643,117.927,0
118.644,117.916,0
118.584,117.916,0
118.584,117.916,0
118.793,118.457,0
118.834,118.456,0
118.834,118.116,0
118.834,118.116,0
118.834,118.226,0
118.733,118.227,0
118.683,118.227,0
118.733,118.227,0
118.734,118.126,0
118.733,118.127,0
118.654,118.266,0
118.733,118.267,0
118.613,118.267,0
118.573,118.267,0
118.503,118.247,0
118.483,118.247,0
118.363,118.247,0
118.364,118.116,0
118.484,118.116,0
118.473,118.117,0
118.473,117.947,0
118.474,117.916,0
118.423,117.917,0
118.423,117.837,0
118.164,117.836,0
118.423,117.837,0
118.144,117.836,0
118.144,117.796,0
118.143,117.797,0
118.433,117.977,0
118.434,117.796,0
118.433,117.797,0
118.434,117.796,0
118.403,117.797,0
118.373,117.797,0
118.373,117.797,0
118.374,117.836,0
118.373,117.837,0
118.164,117.836,0
118.374,117.836,0
118.363,117.837,0
118.364,117.836,0
118.244,117.846,0
118.373,117.947,0
118.374,117.946,0
118.374,118.116,0
118.373,118.117,0
118.614,118.126,0
118.613,118.197,0
118.644,118.196,0
118.733,118.197,0
118.614,118.126,0
118.613,118.117,0
118.494,118.116,0
118.493,118.117,0
118.494,118.116,0
118.603,118.117,0
118.603,118.117,0
118.604,118.276,0
118.833,118.427,0
119.014,118.426,0
118.804,118.426,0
118.914,118.426,0
118.863,118.427,0
118.853,118.427,0
118.844,118.426,0
118.864,118.426,0
118.854,118.426,0
118.864,118.426,0
118.853,118.427,0
118.734,118.426,0
118.733,118.427,0
118.864,118.426,0
118.864,118.426,0
118.863,118.567,0
118.723,118.567,0
118.723,118.437,0
118.713,118.437,0
118.714,118.426,0
118.723,118.427,0
118.694,118.426,0
118.553,118.427,0
118.553,118.397,0
118.724,118.396,0
118.664,118.396,0
118.663,118.177,0
118.664,118.116,0
118.663,118.117,0
118.663,118.117,0
118.543,118.117,0
118.544,118.116,0
118.444,118.176,0
118.313,118.117,0
118.443,118.117,0
118.444,118.116,0
118.443,118.117,0
118.363,118.117,0.0132
118.353,118.117,0
118.363,118.117,0
118.243,118.117,-0.0009
118.333,117.947,-0.0068311
118.334,117.946,0
118.334,117.946,-0.00689617
118.334,117.946,-0.00689617
118.204,118.066,0
118.203,117.947,0
118.204,117.946,0
118.203,118.077,0
118.203,117.947,0
118.173,117.947,-0.000465756
118.164,117.946,-0.000470193
118.164,117.936,0
118.164,117.766,-0.0132
118.163,117.747,-0.0132
118.133,117.747,-0.0009
118.133,117.747,-0.0132
118.133,117.747,-0.0132
118.044,117.746,-0.0009
118.004,117.746,0
117.914,117.746,0
117.904,117.746,0
117.903,117.747,0
117.973,117.747,0
117.973,117.747,0
118.153,117.747,0.0132
118.153,117.747,0.0112
118.213,117.757,0.0132
118.214,117.756,0.0112
118.214,117.806,0
118.214,117.756,0.0132
118.214,117.756,0.0112
118.213,117.787,0.0112
118.213,117.837,0.0112
118.213,117.847,0
118.584,118.036,0
118.584,117.876,0.0114564
118.523,117.877,0
118.584,117.876,0.0114564
118.584,117.876,0.0097206
118.523,118.027,0.0132
118.424,118.026,0.0132
118.424,118.026,0.0112
118.424,118.066,0.0112
118.574,118.076,0.0132
118.573,118.067,0.0132
118.574,118.086,0.0132
118.574,118.056,0.0132
118.573,118.057,0.0112
118.574,118.056,0.0132
118.574,118.056,0.0112
118.574,118.086,0.0132
118.574,118.086,0.0112
118.574,118.086,0.0132
118.574,118.086,0.0112
118.573,118.087,0
118.813,118.317,0.0132
118.814,118.316,0.0112
118.964,118.346,0.0132
118.854,118.346,0.0112
118.853,118.357,0.0112
118.853,118.357,0.0132
118.753,118.357,0.0132
118.853,118.357,0.0132
118.843,118.357,0.0132
118.883,118.357,0.0132
119.084,118.356,0.0132
119.083,118.357,0.0112
118.744,118.376,0.0132
118.744,118.376,0.0112
118.843,118.507,0.0132
118.853,118.507,0.0132
118.884,118.506,0.0132
118.903,118.507,0.0132
118.903,118.507,0.0112
118.904,118.516,0.0112
118.914,118.626,0.0132
118.904,118.626,0.0132
118.894,118.626,0.0132
118.894,118.706,0
118.894,118.626,0.0132
118.824,118.626,0.0132
119.004,118.626,0.0132
118.963,118.627,0.0132
118.964,118.626,0.0112
118.964,118.646,0.0112
118.964,118.656,0
119.003,118.737,0.0132
119.004,118.736,0.0112
119.003,118.737,0.0112
119.243,118.877,0.0132
119.244,118.846,0.0132
119.123,118.847,0.0132
119.124,118.786,0.0132
119.123,118.787,0.0112
119.124,118.786,0.0132
119.104,118.786,0.0132
119.043,118.787,0.0132
118.924,118.786,0.009
119.044,118.736,0
118.894,118.736,0
119.044,118.646,0
119.054,118.646,0
119.054,118.646,0
119.104,118.776,0
119.104,118.776,0
119.103,118.877,0.0132
119.103,118.877,0.0112
119.214,118.976,0.0132
119.224,118.976,0.0132
119.383,118.977,0.0132
119.193,118.977,0.0132
119.215,118.977,0.0112
119.613,119.077,0.0132
119.744,119.076,0.0132
119.414,119.076,0.0132
119.254,119.076,0
119.413,118.887,0
119.414,118.876,-0.0132
119.373,118.877,-0.0009
119.394,118.876,-0.0132
119.374,118.876,-0.0009
119.394,118.876,-0.0132
119.373,118.877,-0.0009
119.153,118.877,-0.0009
119.153,118.887,-0.0132
119.154,118.886,-0.009
119.343,118.997,0
119.294,118.996,0
119.154,118.996,0
119.153,118.887,0
119.064,118.886,0
119.063,118.877,0
119.063,118.877,-0.0132
119.063,118.937,0
119.174,118.936,0
119.314,118.936,0
119.234,118.936,-0.0009
119.093,118.937,0
119.233,118.937,0
119.234,118.906,0
119.074,118.806,-0.0132
118.943,118.807,0
119.073,118.807,-0.009
119.084,118.666,-0.0132
119.083,118.637,-0.0132
119.083,118.567,0
119.084,118.546,-0.0132
119.084,118.366,0
118.953,118.367,-0.0132
118.864,118.366,-0.0009
118.863,118.367,-0.0132
118.864,118.546,-0.0132
118.863,118.567,-0.0132
118.764,118.656,-0.0009
118.763,118.567,-0.0132
118.864,118.566,-0.0132
118.844,118.566,0
118.753,118.567,0
118.594,118.566,0
118.754,118.366,-0.0132
118.754,118.366,-0.0132
118.753,118.087,-0.0132
118.754,118.086,-0.0132
118.743,118.327,-0.0009
118.733,118.327,-0.0009
118.594,118.326,0
118.544,118.326,0
118.513,118.327,0
118.423,118.327,0
118.513,118.237,0
118.444,118.236,0
118.444,118.126,0
118.354,118.126,0.0132
118.343,118.127,0
118.354,118.126,0
118.353,118.127,0
118.284,118.126,0
118.354,118.126,0
118.243,118.127,0
118.353,118.127,0
118.353,117.927,0
118.273,117.947,-0.0132
118.273,117.867,-0.0132
118.273,117.867,-0.0132
118.273,117.867,-0.0132
118.263,117.867,-0.0132
118.243,117.867,-0.0009
118.213,117.867,0
118.404,118.086,0
118.323,118.087,0
118.264,118.086,0.0132
118.253,118.087,0.0132
118.253,117.957,0
118.254,117.956,0.0112
118.404,118.176,0
118.404,118.106,0
