ASK,BID,QUANTITY
53.381,53.229,0
53.381,53.259,0
53.371,53.289,0
53.362,53.168,0
53.372,53.238,0
53.372,53.218,0
53.391,53.239,0
53.432,53.258,0
53.432,53.298,0
53.432,53.308,0
53.431,53.319,0
53.431,53.329,0
53.432,53.318,0
53.411,53.319,0
53.392,53.278,0
53.331,53.289,0
53.371,53.259,0
53.352,53.258,0
53.342,53.258,0
53.302,53.258,0
53.302,53.238,0
53.301,53.259,0
53.302,53.238,0
53.301,53.249,0
53.302,53.278,0
53.321,53.279,0
53.322,53.258,0
53.321,53.249,0
53.322,53.258,0
53.322,53.278,0
53.341,53.279,0
53.372,53.308,0
53.372,53.298,0
53.371,53.279,0
53.371,53.309,0
53.372,53.298,0
53.371,53.309,0
53.372,53.298,0
53.352,53.298,0
53.371,53.309,0
53.371,53.319,0
53.352,53.308,0
53.332,53.298,0
53.342,53.298,0
53.371,53.279,0
53.342,53.298,0
53.342,53.288,0
53.321,53.289,0
53.322,53.278,0
53.312,53.278,0
53.312,53.288,0
53.322,53.278,0
53.311,53.279,0
53.302,53.258,0
53.291,53.259,0
53.302,53.258,0
53.301,53.279,0
53.341,53.279,0
53.371,53.279,0
53.341,53.279,0
53.331,53.279,0
53.372,53.318,0
53.371,53.299,0
53.371,53.36,0
53.402,53.388,0
53.431,53.389,0
53.412,53.368,0
53.411,53.349,0
53.411,53.369,0
53.412,53.388,0
53.431,53.389,0
53.432,53.348,0
53.451,53.349,0
53.462,53.368,0
53.452,53.368,0
53.432,53.368,0
53.471,53.369,0
53.451,53.389,0
53.472,53.388,0
53.471,53.389,0
53.451,53.389,0
53.492,53.388,0
53.472,53.388,0
53.471,53.409,0
53.472,53.388,0
53.471,53.409,0
53.491,53.409,0
53.492,53.388,0
53.471,53.409,0
53.471,53.399,0
53.471,53.409,0
53.491,53.429,0
53.491,53.409,0
53.492,53.428,0
53.472,53.398,0
53.472,53.418,0
53.471,53.409,0
53.472,53.428,0
53.471,53.419,0
53.472,53.408,0
53.471,53.419,0
53.491,53.429,0
53.491,53.419,0
53.492,53.438,0
53.492,53.418,0
53.492,53.428,0
53.492,53.408,0
53.492,53.448,0
53.491,53.439,0
53.492,53.428,0
53.462,53.428,0
53.461,53.389,0
53.431,53.389,0
