ASK,BID,QUANTITY
113.544,112.896,0
113.024,112.356,0
113.514,112.816,0
113.684,112.826,0
113.683,112.817,0
113.244,112.816,0
113.134,112.816,0
113.134,112.816,0
113.123,113.007,0
113.123,112.957,0
113.113,112.957,0
113.123,112.997,0
113.133,112.997,0
113.103,112.997,0
113.133,112.997,0
113.234,112.996,0
113.233,113.017,0
113.233,113.037,0
113.254,113.076,0
113.244,112.996,0
113.224,112.996,0
113.193,112.997,0
113.254,113.016,0
113.254,113.016,0
113.243,113.067,0
113.163,113.067,0
113.114,113.066,0
113.063,112.997,0
113.114,112.866,0
113.033,112.867,0
113.054,112.816,0
113.053,112.817,0
113.154,112.896,0
113.153,112.957,0
113.143,112.957,0
113.144,112.956,0
113.163,112.997,0
113.153,112.997,0
113.154,112.916,0
113.164,112.916,0
113.163,112.977,0
113.164,112.976,0
113.163,113.037,0
113.164,113.036,0
113.164,113.036,0
113.154,113.036,0
113.073,113.037,0
113.044,112.956,0
113.054,112.956,0
113.073,112.887,0
113.123,112.887,0
113.053,112.887,0
113.163,112.887,0
113.094,112.886,0
113.013,112.817,0
113.014,112.756,0
112.913,112.717,0
112.864,112.716,0
112.843,112.217,0
112.883,112.697,0
112.883,112.697,0
112.934,112.726,0
112.933,112.727,0
113.024,112.816,0
113.084,112.906,0
113.104,112.936,0
113.103,112.907,0
113.094,112.906,0
113.093,112.907,0
113.094,112.906,0
112.964,112.906,0
113.003,112.827,0
112.973,112.817,0
112.973,112.817,0
113.024,112.816,0
113.023,112.817,0
113.024,112.846,0
113.163,112.937,0
113.144,112.936,0
113.144,112.936,0
113.144,113.006,0
113.144,113.006,0
113.144,113.006,0
113.203,113.007,0
113.174,113.006,0
113.173,113.007,0
113.174,113.056,0
113.174,113.056,0
113.173,113.057,0
113.174,113.056,0
113.193,113.117,0
113.244,113.116,0
113.243,113.117,0
113.243,113.117,0
113.234,113.116,0
113.243,113.117,0
113.143,113.117,0
113.153,113.067,0
113.153,113.057,0
113.153,113.057,0
113.173,113.057,0
113.174,113.056,0
113.194,113.056,0
113.254,113.066,0
113.254,113.066,0
113.253,113.057,0
113.253,113.057,0
113.253,113.087,0
113.254,113.086,0
113.254,113.196,0
113.303,113.197,0
113.304,113.196,0
113.254,113.21,0
113.253,113.117,0
113.304,113.136,0
113.303,113.137,0
113.303,113.197,0
113.354,113.236,0
113.354,113.236,0
113.313,113.247,0
113.323,113.247,0
113.293,113.237,0
113.234,113.196,0
113.274,113.196,0
113.243,113.197,0
113.284,113.106,0
113.284,112.986,0
113.284,113.066,0
113.243,113.067,0
113.243,113.067,0
113.243,113.087,0
113.244,113.106,0
113.213,112.977,0
113.184,113.036,0
113.213,113.037,0
113.184,113.036,0
113.184,113.036,0
113.183,113.087,0
113.184,113.086,0
113.194,113.086,0
113.193,113.087,0
113.193,113.087,0
113.194,113.086,0
113.193,113.087,0
113.193,113.087,0
113.184,113.086,0
113.173,113.087,0
113.213,113.087,0
113.174,113.086,0
113.193,113.087,0
113.194,113.086,0
113.163,113.127,0
113.163,113.117,0
113.164,113.116,0
113.214,113.116,0
113.214,113.116,0
113.213,113.117,0
113.213,113.117,0
113.214,113.126,0
113.214,113.116,0
113.214,113.116,0
113.213,113.117,0
113.244,113.146,0
113.244,113.146,0
113.244,113.146,0
113.243,113.147,0
113.244,113.146,0
113.244,113.146,0
113.243,113.147,0
113.243,113.157,0
113.244,113.156,0
113.204,113.156,0
113.244,113.146,0
113.213,113.147,0
113.173,112.977,0
113.123,112.977,0
113.093,112.977,0
113.044,112.976,0
113.073,113.007,0
113.114,112.976,0
113.124,112.976,0
113.124,112.976,0
113.124,112.976,0
113.123,112.977,0
113.004,112.976,0
113.043,112.857,0
113.013,112.857,0
112.964,112.856,0
112.964,112.856,0
113.024,112.926,0
112.994,112.926,0
112.994,112.916,0
113.024,112.916,0
112.993,112.957,0
113.014,112.916,0
113.013,112.917,0
113.023,112.917,0
113.023,112.917,0
113.114,112.976,0
113.114,112.916,0
113.063,112.917,0
113.134,112.976,0
113.133,112.977,0
113.134,112.996,0
113.133,113.067,0
113.123,113.067,0
113.134,113.066,0
113.123,113.067,0
113.134,113.066,0
113.124,113.066,0
113.123,112.977,0
113.124,112.966,0
113.073,112.917,0
113.074,112.916,0
113.073,112.927,0
113.104,112.966,0
113.104,112.966,0
113.104,113.046,0
113.233,113.107,0
113.153,113.107,0
113.234,113.106,0
113.153,113.067,0
113.153,113.057,0
113.244,113.166,0
113.244,113.126,0
113.243,113.117,0
113.213,113.177,0
113.244,113.176,0
113.203,113.157,0
113.244,113.166,0
113.243,113.157,0
113.243,113.157,0
113.284,113.216,0
113.284,113.216,0
113.284,113.216,0
113.283,113.217,0
113.283,113.217,0
113.284,113.216,0
113.283,113.217,0
113.284,113.216,0
113.294,113.216,0
113.243,113.217,0
113.284,113.076,0
113.273,113.077,0
113.173,113.027,0
113.254,113.136,0
113.293,113.137,0
113.253,113.137,0
113.293,113.137,0
113.294,113.136,0
113.293,113.177,0
113.294,113.176,0
113.214,113.186,0
113.283,113.057,0
113.203,113.057,0
113.204,113.056,0
113.203,113.067,0
113.254,113.166,0
113.234,113.166,0
113.233,113.117,0
113.214,113.116,0
113.234,113.116,0
113.244,113.096,0
113.233,113.097,0
113.234,113.096,0
113.294,113.106,0
113.254,113.106,0
113.254,113.106,0
113.213,113.157,0
113.243,113.157,0
113.294,113.156,0
113.293,113.207,0
113.294,113.186,0
113.294,113.156,0
113.293,113.157,0
113.233,113.157,0
113.233,113.157,0
113.353,113.237,0
113.314,113.226,0
113.374,113.236,0
113.313,113.227,0
113.344,113.226,0
113.333,113.227,0
113.333,113.107,0
113.293,113.097,0
113.294,113.096,0
113.303,113.197,0
113.303,113.197,0
113.343,113.197,0
113.343,113.197,0
113.383,113.257,0
113.383,113.257,0
113.403,113.317,0
113.404,113.316,0
113.474,113.236,0
113.474,113.316,0
113.484,113.316,0
113.523,113.317,0
113.523,113.317,0
113.524,113.316,0
113.523,113.317,0
113.484,113.406,0
113.524,113.316,0
113.534,113.316,0
113.533,113.327,0
113.484,113.326,0
113.483,113.317,0
113.483,113.347,0
113.444,113.412,0
113.444,113.316,0
113.443,113.247,0
113.444,113.246,0
113.423,113.267,0
113.443,113.267,0
113.444,113.266,0
113.444,113.286,0
113.444,113.286,0
113.453,113.357,0
113.413,113.357,0
113.353,113.227,0
113.333,113.227,0
113.333,113.207,0
113.334,113.206,0
113.433,113.287,0
113.433,113.287,0
113.454,113.286,0
113.453,113.287,0
113.514,113.346,0
113.494,113.346,0
113.484,113.346,0
113.454,113.346,0
113.453,113.347,0
113.413,113.407,0
113.443,113.327,0
113.443,113.327,0
113.363,113.227,0
113.364,113.206,0
113.363,113.207,0
113.454,113.286,0
113.453,113.257,0
113.453,113.267,0
113.453,113.277,0
113.444,113.286,0
113.454,113.286,0
113.444,113.286,0
113.454,113.286,0
113.443,113.287,0
113.454,113.286,0
113.443,113.287,0
113.454,113.286,0
113.444,113.286,0
113.453,113.287,0
113.443,113.367,0
113.454,113.366,0
113.443,113.367,0
113.453,113.367,0
113.453,113.367,0
113.444,113.366,0
113.404,113.196,0
113.404,113.256,0
113.403,113.257,0
113.403,113.207,0
113.404,113.196,0
113.323,113.197,0
113.404,113.286,0
113.343,113.287,0
113.414,113.286,0
113.343,113.287,0
113.324,113.216,0
113.393,113.257,0
113.324,113.256,-0.00627218
113.393,113.257,-0.00627215
113.313,113.257,-0.000427647
113.294,113.146,-0.00627225
113.294,113.146,-0.00627225
113.394,113.186,-0.00627214
113.374,113.186,-0.000427646
113.394,113.186,-0.00627214
113.393,113.187,0
113.454,113.216,0
113.433,113.217,0
113.403,113.207,0
113.354,113.296,0
113.413,113.247,0
113.414,113.186,-0.00627214
113.324,113.166,-0.0062721
113.273,113.167,-0.00627226
113.313,113.137,-0.00627211
113.313,113.157,-0.00627215
113.313,113.157,-0.00627215
