ASK,BID,QUANTITY
215.604,215.506,0
215.613,215.507,0
215.643,215.507,0
215.573,215.487,0
215.583,215.547,0
215.624,215.546,0
215.624,215.526,0
215.614,215.496,0
215.643,215.497,0
215.713,215.587,0
215.704,215.606,0
215.713,215.607,0
215.803,215.597,0
215.794,215.506,0
215.794,215.586,0
215.793,215.507,0
215.704,215.506,0
215.793,215.667,0
215.794,215.636,0
215.794,215.666,0
215.794,215.636,0
215.793,215.657,0
215.733,215.627,0
215.774,215.606,0
215.774,215.566,0
215.754,215.566,0
215.733,215.567,0
215.683,215.567,0
215.714,215.586,0
215.704,215.586,0
215.663,215.587,0
215.614,215.546,0
215.634,215.546,0
215.624,215.546,0
215.593,215.507,0
215.583,215.507,0
215.593,215.537,0
215.593,215.407,0
215.594,215.426,0
215.583,215.447,0
215.584,215.486,0
215.583,215.447,0
215.554,215.466,0
215.553,215.427,0
215.593,215.427,0
215.603,215.427,0
215.623,215.537,0
215.623,215.577,0
215.623,215.427,0
215.644,215.426,0
215.724,215.646,0
215.773,215.727,0
215.774,215.706,0
215.763,215.707,0
215.794,215.746,0
215.803,215.737,0
215.804,215.746,0
215.804,215.696,0
215.793,215.697,0
215.803,215.737,0
215.834,215.736,0
215.903,215.737,0
215.864,215.736,0
215.953,215.867,0
215.924,215.866,0
215.924,215.856,0
215.924,215.826,0
215.934,215.856,0
215.964,215.856,0
216.084,215.996,0
216.063,216.017,0
216.054,215.846,0
216.053,215.797,0
216.033,215.797,0
216.034,215.736,0
215.984,215.736,0
215.983,215.697,0
216.073,215.797,0
216.034,215.736,0
215.984,215.736,0
215.994,215.876,0
216.084,215.876,0
216.044,215.876,0
216.084,215.916,0
216.073,215.917,0
216.083,215.917,0
216.073,215.917,0
216.074,216.016,0
216.123,215.917,0
216.103,215.917,0
216.144,215.916,0
216.114,215.916,0
216.043,215.947,0
216.043,215.937,0
216.014,215.936,0
216.023,215.897,0
216.023,215.907,0
216.024,215.896,0
216.023,215.727,0
215.904,215.646,0
215.894,215.726,0
215.894,215.796,0
215.894,215.786,0
215.893,215.777,0
215.983,215.787,0
215.984,215.806,0
215.873,215.807,0
215.873,215.797,0
215.863,215.787,0
215.873,215.787,0
215.873,215.777,0
215.873,215.767,0
215.873,215.777,0
215.873,215.767,0
215.873,215.687,0
215.833,215.757,0
215.833,215.737,0
215.833,215.717,0
215.894,215.776,0
215.863,215.807,0
215.863,215.797,0
215.893,215.827,0
215.963,215.847,0
215.964,215.866,0
215.993,215.817,0
216.003,215.817,0
