ASK,BID,QUANTITY
34.103,33.817,0
33.924,33.816,0
33.905,33.816,0
33.874,33.826,0
33.874,33.846,0
33.853,33.777,0
33.863,33.777,0
33.853,33.777,0
33.843,33.777,0
33.834,33.756,0
33.813,33.757,0
33.774,33.756,0
33.783,33.757,0
33.813,33.747,0
33.814,33.746,0
33.814,33.746,0
33.814,33.746,0
33.824,33.756,0
33.824,33.756,0
33.823,33.757,0
33.824,33.756,0
33.813,33.757,0
33.824,33.756,0
33.814,33.756,0
33.823,33.757,0
33.813,33.757,0
33.804,33.756,0
33.794,33.746,0
33.804,33.746,0
33.804,33.746,0
33.804,33.756,0
33.824,33.756,0
33.835,33.757,0
33.894,33.786,0
33.954,33.786,0
33.834,33.786,0
33.953,33.787,0
33.954,33.786,0
33.954,33.796,0
33.953,33.807,0
33.954,33.816,0
33.933,33.817,0
33.934,33.756,0
33.864,33.756,0
33.853,33.807,0
33.854,33.816,0
33.913,33.827,0
33.914,33.826,0
33.874,33.846,0
33.893,33.847,0
33.894,33.826,0
33.904,33.856,0
33.893,33.857,0
33.903,33.857,0
33.894,33.856,0
33.903,33.857,0
33.894,33.856,0
33.904,33.856,0
33.894,33.856,0
33.903,33.857,0
33.864,33.856,0
33.863,33.847,0
33.864,33.836,0
33.853,33.845,0
33.853,33.827,0
33.853,33.817,0
33.853,33.817,0
33.863,33.847,0
33.863,33.847,0
33.914,33.846,0
33.894,33.816,0
33.873,33.817,0
33.864,33.816,0
33.873,33.817,0
33.874,33.816,0
33.873,33.817,0
33.893,33.817,0
33.873,33.817,0
33.873,33.817,0
33.883,33.837,0
33.873,33.837,0
33.863,33.837,0
33.863,33.837,0
33.884,33.856,0
33.883,33.847,0
33.883,33.847,0
33.884,33.836,0
33.863,33.837,0
33.874,33.836,0
33.873,33.837,0
33.873,33.837,0
33.873,33.837,0
33.914,33.856,0
33.913,33.837,0
33.913,33.837,0
33.883,33.857,0
33.883,33.847,0
33.883,33.847,0
33.894,33.836,0
33.894,33.836,0
33.914,33.846,0
33.913,33.847,0
33.893,33.837,0
33.903,33.847,0
33.893,33.847,0
33.913,33.837,0
33.893,33.837,0
33.894,33.836,0
33.914,33.846,0
33.914,33.836,0
33.913,33.837,0
33.913,33.837,0
33.913,33.837,0
33.914,33.836,0
33.913,33.877,0
33.914,33.836,0
33.893,33.837,0
33.903,33.817,0
33.914,33.816,0
33.914,33.816,0
33.903,33.857,0
33.894,33.846,0
33.904,33.846,0
33.904,33.846,0
33.904,33.846,0
33.894,33.846,0
33.863,33.827,0
33.853,33.827,0
33.893,33.837,0
33.894,33.836,0
33.903,33.857,0
33.904,33.836,0
33.894,33.836,0
33.904,33.836,0
33.884,33.856,0
33.893,33.837,0
33.884,33.836,0
33.893,33.837,0
33.884,33.836,0
33.893,33.837,0
33.904,33.836,0
33.883,33.837,0
33.883,33.857,0
33.883,33.837,0
33.884,33.826,0
33.893,33.817,0
33.883,33.817,0
33.874,33.816,0
33.873,33.817,0
33.873,33.837,0
33.863,33.817,0
33.864,33.816,0
33.863,33.817,0
33.853,33.817,0
33.853,33.817,0
33.864,33.826,0
33.853,33.817,0
33.913,33.817,0
33.914,33.816,0
33.913,33.817,0
33.864,33.816,0
33.913,33.827,0
33.913,33.817,0
33.863,33.817,0
33.914,33.816,0
33.853,33.817,0
33.863,33.827,0
33.913,33.827,0
33.913,33.817,0
33.913,33.837,0
33.913,33.827,0
33.864,33.826,0
33.913,33.827,0
33.883,33.827,0
33.843,33.827,0
33.854,33.826,0
33.864,33.826,0
33.844,33.826,0
33.844,33.816,0
33.844,33.756,0
33.844,33.756,0
33.844,33.756,0
33.884,33.836,0
33.883,33.757,0
33.884,33.756,0
33.884,33.836,0
33.884,33.836,0
33.863,33.837,0
33.844,33.816,0
33.863,33.817,0
33.863,33.817,0
33.844,33.826,0
33.853,33.817,0
33.853,33.817,0
33.863,33.827,0
33.854,33.826,0
33.863,33.827,0
33.854,33.816,0
33.844,33.816,0
33.853,33.817,0
33.864,33.816,0
33.853,33.827,0
33.853,33.817,0
33.864,33.826,0
33.864,33.836,0
33.863,33.827,0
33.853,33.827,0
33.843,33.827,0
33.843,33.817,0
33.853,33.817,0
33.873,33.817,0
33.893,33.817,0
33.913,33.827,0
33.914,33.826,0
33.914,33.826,0
33.914,33.826,0
33.914,33.836,0
33.853,33.827,0
33.893,33.827,0
33.884,33.826,0
33.883,33.827,0
33.853,33.827,0
33.873,33.827,0
33.853,33.827,0
33.874,33.826,0
33.873,33.827,0
33.874,33.836,0
33.914,33.856,0
33.893,33.857,0
33.873,33.847,0
33.873,33.837,0
33.874,33.776,0
33.864,33.776,0
33.863,33.777,0
33.854,33.836,0
33.864,33.826,0
33.854,33.826,0
33.844,33.826,0
33.843,33.817,0
33.843,33.777,0
33.853,33.777,0
33.834,33.776,0
33.824,33.796,0
33.813,33.797,0
33.814,33.756,0
33.804,33.756,0
33.853,33.777,0
33.804,33.776,0
33.803,33.757,0
33.793,33.757,0
33.794,33.746,0
33.833,33.747,0
33.834,33.746,0
33.834,33.756,0
33.784,33.756,0
33.783,33.747,0
33.784,33.746,0
33.794,33.756,0
33.793,33.757,0
33.793,33.757,0
33.793,33.757,0
33.833,33.777,0
33.824,33.776,0
33.813,33.777,0
33.824,33.776,0
33.834,33.776,0
33.823,33.777,0
33.833,33.777,0
33.823,33.777,0
33.833,33.777,0
33.843,33.807,0
33.834,33.806,0
33.833,33.797,0
33.843,33.797,0
33.854,33.796,0
33.853,33.797,0
33.853,33.797,0
33.824,33.776,0
33.823,33.757,0
33.803,33.757,0
33.804,33.756,0
33.793,33.767,0
33.793,33.767,0
33.823,33.787,0
33.823,33.777,0
33.824,33.776,0
33.824,33.776,0
33.804,33.776,0
33.804,33.766,0
33.824,33.766,0
33.824,33.766,0
33.814,33.766,0
33.824,33.776,0
33.824,33.776,0
33.823,33.767,0
33.813,33.767,0
33.803,33.767,0
33.793,33.767,0
33.793,33.767,0
33.823,33.777,0
33.813,33.777,0
33.813,33.767,0
33.804,33.766,0
33.784,33.766,0
33.784,33.756,0
33.783,33.757,0
33.814,33.766,0
33.814,33.766,0
33.803,33.757,0
33.814,33.756,0
33.814,33.756,0
33.813,33.757,0
33.813,33.757,0
33.833,33.777,0
33.854,33.806,0
33.853,33.797,0
33.823,33.777,0
33.824,33.756,0
33.814,33.756,0
33.803,33.757,0
33.813,33.757,0
33.813,33.757,0
33.833,33.787,0
33.854,33.806,0
33.853,33.807,0
33.854,33.806,0
33.874,33.826,0
33.854,33.816,0
33.874,33.816,0
33.873,33.817,0
33.873,33.817,0
33.873,33.817,0
33.883,33.837,0
33.894,33.836,0
33.893,33.837,0
33.894,33.836,0
33.893,33.847,0
33.894,33.836,0
33.894,33.836,0
33.893,33.837,0
33.873,33.837,0
33.884,33.836,0
33.874,33.836,0
33.883,33.837,0
33.874,33.836,0
33.883,33.837,0
33.874,33.836,0
33.884,33.846,0
33.883,33.837,0
33.894,33.836,0
33.883,33.837,0
33.873,33.817,0
33.873,33.817,0
33.894,33.846,0
33.894,33.836,0
33.894,33.836,0
33.914,33.856,0
33.883,33.857,0
33.883,33.847,0
33.893,33.847,0
33.894,33.846,0
33.894,33.856,0
33.883,33.857,0
33.894,33.856,0
33.893,33.857,0
33.884,33.866,0
33.893,33.867,0
33.904,33.866,0
33.894,33.866,0
33.904,33.866,0
33.893,33.867,0
33.883,33.867,0
33.893,33.867,0
33.883,33.867,0
33.883,33.847,0
33.884,33.836,0
33.884,33.836,0
33.893,33.837,0
33.894,33.836,0
33.894,33.836,0
33.884,33.836,0
33.874,33.836,0
33.884,33.846,0
33.874,33.846,0
33.874,33.836,0
33.873,33.817,0
33.874,33.816,0
33.874,33.816,0
33.863,33.817,0
