ASK,BID,QUANTITY
74.993,74.907,0
75.004,74.906,0
75.003,74.897,0
75.043,74.977,0
75.033,74.947,0
75.033,74.937,0
75.053,74.957,0
75.054,74.956,0
75.013,74.967,0
75.064,74.966,0
75.064,75.032,0
75.063,74.967,0
75.064,74.946,0
75.064,74.976,0
75.063,74.977,0
75.053,74.967,0
75.063,74.967,0
75.064,74.966,0
75.054,74.966,0
75.044,74.966,0
75.043,74.957,0
75.043,74.967,0
75.043,74.957,0
75.044,74.956,0
75.044,74.956,0
75.043,74.977,0
75.043,74.957,0
75.064,74.966,0
75.043,74.927,0
75.043,74.907,0
75.043,74.907,0
74.944,74.896,0
74.964,74.896,0
74.964,74.896,0
74.944,74.906,0
74.943,74.867,0
74.943,74.827,0
74.944,74.876,0
74.943,74.877,0
74.943,74.897,0
74.954,74.936,0
75.004,74.916,0
75.003,74.917,0
74.974,74.916,0
74.974,74.896,0
74.994,74.896,0
74.993,74.897,0
74.943,74.897,0
74.944,74.886,0
74.944,74.896,0
74.944,74.886,0
74.983,74.897,0
75.004,74.896,0
74.983,74.897,0
74.964,74.886,0
74.963,74.887,0
74.973,74.897,0
74.974,74.896,0
74.954,74.896,0
74.903,74.817,0
74.904,74.736,0
74.883,74.757,0
74.903,74.817,0
74.903,74.837,0
74.913,74.837,0
74.914,74.836,0
74.913,74.867,0
74.914,74.836,0
74.913,74.877,0
74.963,74.877,0
74.963,74.877,0
74.964,74.896,0
74.974,74.896,0
74.963,74.907,0
74.964,74.896,0
74.973,74.877,0
74.974,74.926,0
75.004,74.926,0
75.003,74.917,0
75.004,74.916,0
74.963,74.927,0
75.003,74.937,0
75.013,74.937,0
75.014,74.936,0
74.983,74.927,0
74.983,74.897,0
74.983,74.917,0
74.983,74.897,0
74.984,74.916,0
74.984,74.896,0
74.984,74.896,0
74.984,74.896,0
74.973,74.897,0
74.964,74.896,0
74.963,74.877,0
74.963,74.897,0
74.964,74.896,0
74.984,74.896,0
74.983,74.897,0
74.964,74.856,0
74.963,74.867,0
74.964,74.876,0
74.973,74.877,0
74.983,74.897,0
74.964,74.906,0
74.943,74.877,0
74.944,74.876,0
74.944,74.896,0
74.944,74.876,0
74.943,74.857,0
74.943,74.887,0
74.943,74.857,0
74.914,74.856,0
74.943,74.857,0
74.944,74.856,0
74.944,74.876,0
74.964,74.876,0
74.963,74.897,0
74.974,74.896,0
74.973,74.897,0
74.973,74.897,0
74.973,74.917,0
74.973,74.927,0
74.974,74.916,0
74.974,74.946,0
74.973,74.927,0
74.994,74.926,0
74.993,74.917,0
74.983,74.927,0
74.994,74.926,0
74.994,74.926,0
74.994,74.916,0
74.993,74.917,0
74.983,74.897,0
74.994,74.896,0
74.993,74.897,0
74.983,74.937,0
74.993,74.917,0
74.984,74.896,0
74.983,74.897,0
74.984,74.876,0
74.953,74.877,0
74.984,74.876,0
74.984,74.896,0
74.943,74.877,0
74.984,74.876,0
74.984,74.876,0
74.963,74.917,0
75.023,74.967,0
75.044,74.966,0
75.044,74.966,0
75.043,74.977,0
75.034,74.976,0
75.053,74.977,0
75.053,74.977,0
75.054,74.976,0
75.053,74.977,0
74.974,74.936,0
74.953,74.867,0
74.954,74.876,0
74.954,74.876,0
74.923,74.867,0
74.954,74.876,0
74.953,74.907,0
74.974,74.906,0
74.973,74.907,0
74.974,74.906,0
