ASK,BID,QUANTITY
51.454,51.346,0
51.504,51.416,0
51.465,51.415,0
51.464,51.426,0
51.324,51.256,0
51.305,51.255,0
51.414,51.366,0
51.414,51.376,0
51.384,51.336,0
51.384,51.336,0
51.384,51.346,0
51.404,51.356,0
51.404,51.366,0
51.384,51.336,0
51.414,51.366,0
51.424,51.376,0
51.434,51.376,0
51.384,51.336,0
51.354,51.306,0
51.384,51.306,0
51.344,51.306,0
51.304,51.266,0
51.314,51.276,0
51.294,51.256,0
51.274,51.236,0
51.254,51.216,0
51.244,51.216,0
51.284,51.236,0
51.284,51.246,0
51.284,51.246,0
51.254,51.236,0
51.254,51.216,0
51.244,51.206,0
51.254,51.216,0
51.254,51.236,0
51.264,51.226,0
51.274,51.236,0
51.264,51.216,0
51.244,51.206,0
51.234,51.196,0
51.245,51.205,0
51.234,51.196,0
51.234,51.206,0
51.234,51.206,0
51.244,51.206,0
51.245,51.195,0
51.244,51.206,0
51.234,51.196,0
51.204,51.176,0
51.224,51.196,0
51.234,51.196,0
51.234,51.186,0
51.234,51.206,0
51.234,51.186,0
51.234,51.196,0
51.235,51.185,0
51.224,51.186,0
51.234,51.186,0
51.234,51.186,0
51.214,51.176,0
51.214,51.176,0
51.224,51.186,0
51.234,51.186,0
51.234,51.196,0
51.234,51.186,0
51.254,51.216,0
51.244,51.206,0
51.234,51.196,0
51.244,51.196,0
51.234,51.186,0
51.234,51.196,0
51.234,51.196,0
51.244,51.206,0
51.244,51.196,0
51.234,51.196,0
51.234,51.196,0
51.254,51.216,0
51.224,51.186,0
51.224,51.186,0
51.224,51.196,0
51.205,51.165,0
51.204,51.166,0
51.184,51.146,0
51.174,51.146,0
51.184,51.146,0
51.154,51.126,0
51.154,51.116,0
51.155,51.125,0
51.174,51.136,0
51.174,51.126,0
51.174,51.136,0
51.184,51.146,0
51.194,51.166,0
51.174,51.146,0
51.174,51.126,0
51.165,51.125,0
51.154,51.116,0
51.144,51.126,0
51.154,51.126,0
51.174,51.126,0
51.154,51.126,0
51.154,51.126,0
51.125,51.075,0
51.134,51.076,0
51.134,51.096,0
51.144,51.116,0
51.114,51.086,0
51.125,51.085,0
51.134,51.086,0
51.134,51.106,0
51.134,51.086,0
51.134,51.106,0
51.124,51.086,0
51.114,51.076,0
51.134,51.096,0
51.124,51.096,0
51.134,51.096,0
51.124,51.086,0
51.154,51.116,0
51.184,51.146,0
51.204,51.166,0
51.245,51.215,0
51.284,51.246,0
51.274,51.236,0
51.284,51.236,0
51.284,51.226,0
51.274,51.226,0
51.284,51.236,0
51.284,51.226,0
51.284,51.236,0
51.284,51.226,0
51.274,51.226,0
51.284,51.226,0
51.274,51.226,0
51.314,51.266,0
51.304,51.256,0
51.304,51.256,0
51.304,51.266,0
51.304,51.266,0
51.284,51.256,0
51.295,51.255,0
51.304,51.256,0
51.294,51.266,0
51.294,51.256,0
51.264,51.246,0
51.274,51.246,0
51.274,51.226,0
51.254,51.226,0
51.254,51.216,0
51.244,51.206,0
51.254,51.216,0
51.254,51.206,0
51.234,51.186,0
51.234,51.196,0
51.234,51.186,0
51.234,51.196,0
51.225,51.195,0
51.235,51.195,0
51.234,51.206,0
51.214,51.196,0
51.264,51.216,0
51.264,51.216,0
51.264,51.226,0
51.284,51.216,0
51.274,51.226,0
51.264,51.216,0
51.275,51.225,0
51.284,51.226,0
51.274,51.226,0
51.284,51.246,0
51.314,51.266,0
51.314,51.276,0
51.314,51.276,0
51.314,51.266,0
51.324,51.306,0
51.324,51.296,0
51.334,51.306,0
51.334,51.286,0
51.334,51.276,0
51.294,51.256,0
51.284,51.246,0
51.284,51.236,0
51.274,51.246,0
51.294,51.256,0
51.274,51.236,0
51.254,51.226,0
51.254,51.216,0
51.254,51.206,0
51.274,51.246,0
51.304,51.266,0
51.334,51.296,0
51.374,51.336,0
51.374,51.326,0
51.374,51.346,0
51.394,51.346,0
51.374,51.346,0
51.374,51.326,0
51.334,51.286,0
51.334,51.296,0
51.324,51.276,0
51.314,51.276,0
51.304,51.266,0
51.284,51.246,0
51.254,51.226,0
51.244,51.216,0
51.224,51.206,0
51.314,51.266,0
51.304,51.266,0
51.304,51.256,0
51.304,51.246,0
51.295,51.255,0
51.334,51.286,0
51.355,51.315,0
51.364,51.316,0
51.375,51.315,0
51.364,51.316,0
51.374,51.316,0
51.374,51.326,0
51.384,51.346,0
51.384,51.346,0
51.394,51.346,0
51.394,51.356,0
51.394,51.346,0
51.384,51.336,0
51.394,51.356,0
51.394,51.346,0
51.394,51.336,0
51.375,51.335,0
51.365,51.315,0
51.354,51.316,0
51.354,51.306,0
51.354,51.316,0
51.374,51.336,0
51.364,51.326,0
51.354,51.316,0
51.334,51.306,0
51.354,51.306,0
51.354,51.316,0
51.354,51.306,0
51.344,51.306,0
51.354,51.316,0
51.354,51.316,0
51.374,51.326,0
51.354,51.316,0
51.404,51.356,0
51.414,51.366,0
51.414,51.376,0
51.404,51.346,0
51.414,51.356,0
51.404,51.366,0
51.414,51.366,0
51.404,51.366,0
51.414,51.376,0
51.404,51.366,0
51.395,51.345,0
51.374,51.326,0
51.354,51.316,0
51.344,51.306,0
51.334,51.306,0
51.344,51.306,0
51.324,51.286,0
51.374,51.346,0
51.394,51.346,0
51.375,51.355,0
51.354,51.316,0
51.354,51.306,0
51.354,51.316,0
51.394,51.336,0
51.374,51.326,0
51.374,51.336,0
51.404,51.366,0
51.414,51.366,0
51.414,51.376,0
51.404,51.356,0
51.414,51.376,0
51.445,51.395,0
51.444,51.406,0
51.464,51.416,0
51.464,51.406,0
51.455,51.405,0
51.464,51.406,0
51.454,51.406,0
51.464,51.406,0
51.434,51.396,0
51.424,51.386,0
51.424,51.396,0
51.424,51.386,0
51.404,51.356,0
51.334,51.306,0
51.324,51.296,0
51.334,51.296,0
51.334,51.286,0
51.335,51.295,0
51.354,51.306,0
51.354,51.296,0
51.354,51.306,0
51.344,51.316,0
51.364,51.326,0
51.364,51.316,0
51.364,51.336,0
51.374,51.336,0
51.384,51.336,0
51.374,51.336,0
51.384,51.346,0
51.354,51.326,0
51.314,51.286,0
51.314,51.266,0
51.314,51.286,0
51.304,51.266,0
51.324,51.296,0
51.325,51.285,0
51.324,51.286,0
51.355,51.325,0
51.364,51.326,0
51.384,51.356,0
51.404,51.356,0
51.384,51.346,0
51.404,51.356,0
51.364,51.336,0
51.374,51.336,0
51.394,51.336,0
51.384,51.346,0
51.394,51.346,0
51.404,51.346,0
51.404,51.366,0
51.434,51.376,0
51.444,51.376,0
51.364,51.306,0
51.374,51.336,0
51.374,51.326,0
51.385,51.325,0
51.374,51.326,0
51.355,51.305,0
51.364,51.306,0
51.354,51.306,0
51.364,51.326,0
51.354,51.326,0
51.374,51.336,0
51.384,51.336,0
51.344,51.306,0
51.354,51.316,0
51.354,51.326,0
51.324,51.286,0
51.324,51.286,0
51.314,51.276,0
51.314,51.286,0
51.304,51.266,0
51.324,51.266,0
51.324,51.266,0
51.324,51.286,0
51.314,51.286,0
51.304,51.266,0
51.274,51.236,0
51.274,51.226,0
51.284,51.246,0
51.295,51.255,0
51.254,51.206,0
51.244,51.206,0
51.244,51.216,0
51.254,51.216,0
51.254,51.206,0
51.264,51.216,0
51.264,51.216,0
51.244,51.196,0
51.244,51.206,0
51.234,51.196,0
51.244,51.206,0
51.254,51.206,0
51.234,51.196,0
51.234,51.196,0
51.224,51.196,0
51.234,51.196,0
51.224,51.196,0
51.235,51.195,0
51.224,51.196,0
51.234,51.196,0
51.214,51.186,0
51.234,51.186,0
51.234,51.196,0
51.234,51.186,0
51.224,51.186,0
51.234,51.196,0
51.234,51.186,0
51.254,51.206,0
51.264,51.226,0
51.264,51.226,0
51.284,51.246,0
51.254,51.226,0
51.225,51.185,0
51.224,51.196,0
51.274,51.226,0
51.264,51.236,0
51.264,51.216,0
51.275,51.245,0
51.284,51.246,0
51.274,51.246,0
51.284,51.246,0
51.284,51.236,0
51.284,51.256,0
51.304,51.266,0
51.304,51.256,0
51.304,51.266,0
51.274,51.236,0
51.284,51.256,0
51.244,51.206,0
51.224,51.186,0
51.274,51.246,0
51.294,51.256,0
51.304,51.256,0
51.304,51.266,0
51.274,51.236,0
51.254,51.226,0
51.254,51.216,0
51.254,51.226,0
51.254,51.216,0
51.254,51.216,0
51.264,51.236,0
51.254,51.216,0
51.254,51.236,0
51.264,51.236,0
51.274,51.246,0
51.264,51.236,0
51.254,51.226,0
