ASK,BID,QUANTITY
22.814,22.676,0
22.763,22.677,0
22.744,22.676,0
22.764,22.676,0
22.713,22.677,0
22.763,22.677,0
22.764,22.696,0
22.814,22.746,0
22.823,22.747,0
22.814,22.746,0
22.783,22.717,0
22.863,22.727,0
22.863,22.717,0
22.863,22.717,0
22.863,22.767,0
22.863,22.767,0
22.863,22.767,0
22.863,22.817,0
22.853,22.845,0
22.863,22.837,0
22.863,22.837,0
22.893,22.847,0
22.873,22.847,0
22.894,22.716,0
22.894,22.736,0
22.893,22.737,0
22.854,22.736,0
22.893,22.737,0
22.874,22.736,0
22.893,22.747,0
22.894,22.736,0
22.893,22.737,0
22.893,22.737,0
22.894,22.736,0
22.893,22.737,0
22.894,22.736,0
22.893,22.737,0
22.893,22.737,0
22.893,22.737,0
22.894,22.736,0
22.893,22.737,0
22.893,22.737,0
22.893,22.737,0
22.893,22.777,0
22.894,22.786,0
22.893,22.797,0
22.873,22.787,0
22.864,22.776,0
22.863,22.817,0
22.894,22.816,0
22.884,22.816,0
22.864,22.826,0
22.894,22.826,0
22.884,22.826,0
22.894,22.826,0
22.883,22.827,0
22.893,22.827,0
22.864,22.826,0
22.894,22.826,0
22.863,22.827,0
22.894,22.816,0
22.883,22.717,0
22.844,22.716,0
22.884,22.716,0
22.794,22.716,0
22.824,22.776,0
22.883,22.777,0
22.884,22.766,0
22.824,22.766,0
22.883,22.767,0
22.883,22.767,0
22.834,22.776,0
22.883,22.777,0
22.863,22.777,0
22.854,22.806,0
22.863,22.807,0
22.853,22.807,0
22.854,22.796,0
22.863,22.797,0
22.863,22.787,0
22.854,22.786,0
22.854,22.826,0
22.864,22.826,0
22.853,22.827,0
22.864,22.826,0
22.854,22.826,0
22.863,22.827,0
22.853,22.827,0
22.863,22.827,0
22.843,22.827,0
22.844,22.796,0
22.843,22.797,0
22.843,22.807,0
22.844,22.816,0
22.853,22.827,0
22.843,22.827,0
22.834,22.826,0
22.833,22.807,0
22.824,22.806,0
22.833,22.807,0
22.843,22.787,0
22.824,22.786,0
22.854,22.786,0
22.854,22.786,0
22.843,22.807,0
22.853,22.787,0
22.853,22.787,0
22.833,22.797,0
22.814,22.736,0
22.854,22.736,0
22.794,22.736,0
22.853,22.737,0
22.853,22.737,0
22.804,22.756,0
22.854,22.756,0
22.853,22.737,0
22.793,22.737,0
22.854,22.736,0
22.783,22.737,0
22.853,22.737,0
22.854,22.726,0
22.854,22.726,0
22.854,22.756,0
22.795,22.766,0
22.783,22.767,0
22.794,22.726,0
22.784,22.726,0
22.823,22.727,0
22.844,22.726,0
22.773,22.727,0
22.844,22.726,0
22.844,22.716,0
22.793,22.717,0
22.793,22.717,0
22.795,22.767,0
22.803,22.777,0
22.853,22.777,0
22.813,22.777,0
22.803,22.777,0
22.854,22.776,0
22.814,22.776,0
22.854,22.776,0
22.854,22.776,0
22.794,22.766,0
22.803,22.767,0
22.793,22.767,0
22.774,22.766,0
22.783,22.767,0
22.783,22.747,0
22.774,22.746,0
22.773,22.717,0
22.744,22.716,0
